"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-16","76","88","65"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-17","75",,"65"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-18","76",,"67"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-19","74",,"68"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-20","71",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-21","69",,"62"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-22","67",,"65"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-23","69",,"65"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-24","71",,"64"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-25","70",,"67"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-26","72",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-27","69",,"62"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-28","69",,"65"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-29","68",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-30","70",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-31","70",,"62"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-01","72",,"65"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-02","70",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-03","69",,"60"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-04","72",,
